ID THESE,status,title,discipline,DisciplineNew,DisciplineStandard,Topic,Localisation,time studied,Relation,Movement,subjects,abstract_fr,abstract_en,directeurTheseNP,directeurThesePPN_correct,auteurPpn,auteur,Institution,EtabSoutenanceNew,dateSoutenance,DateSoutenanceYear,langueThese,oaiSetSpec,etablissement,SubjectsNew,ecole_doctorale_id,ecole_doctorale_name
93312,enCours,Le rôle des juridictions étatiques dans le processus d'arbitrage international : étude comparative entre le droit français et le droit russe,Droit comparé,droit compare***droit international,droit,droit international***droit russe***droit,,,compar fr,,,"De par sa nature, l’arbitrage international a vocation à faciliter les rapports commerciaux entre les acteurs économiques issus de différents pays. Or, l’efficacité de la justice privée est subordonnée à l’efficacité de sa coopération avec les juridictions étatiques. L’interaction entre l’arbitrage international et la justice étatique fera l'objet de la présente étude visant à comparer les mécanismes qui existent dans ce domaine en droit français et en droit russe.\
Il s'agit de présenter une vision globale portant sur les différentes problématiques relatives à l'interaction entre l’arbitrage international et les juridictions étatiques, tant en cours d’instance arbitrale (se penchant, notamment, sur la question du juge d’appui abordée lors de la récente réforme du droit français de l’arbitrage) que dans la phase post-arbitrale (concernant les modalités du contrôle judiciaire des sentences internationales dans les deux systèmes de droit).\
Le travail proposera également une réflexion sur le problème de l’harmonisation des droits nationaux en matière d’arbitrage international, à la lumière des thèmes abordés.",,goré marie,33775249,,Nadezca Ryndina,Paris 2,,22/11/2012,2018,,Droit,"Paris 2,",,58709355,"École doctorale de droit international, droit européen, relations internationales et droit comparé (Paris)"
30799,enCours,Incidences de la réception des normes du conseil de l'europe et des actions de l'union europeenne sur la reforme pénitentiaire russe.,Droit public,droit public,droit,detention***normes,,21-21,,EUROIN,,"Après une première vague réformatrice au début des années 1990, la question pénitentiaire fait aujourd'hui retour en russie avec la présentation d'un projet de réforme qui touche peu ou prou tous les aspects de l'exécution des peines. quelle que soit la destinée de chacune des mesures envisagées, un tel projet marque une césure dans les politiques pénitentiaires, parce qu'il opère la mise en question du fonctionnement du système dans son ensemble et envisage l'instauration de référentiels nouveaux. la question des relations entre les politiques pénales et pénitentiaires russes et les normes promues par le conseil de l'europe et l'ue pose des questions de trois ordres. la première concerne les modalités d'émergence dans le débat public russe d'une question pénitentiaire et la mise à l'agenda d'une réforme. la deuxième porte sur la manière dont la rédaction de la réforme adopte et/ou se confronte aux normes de l'instance européenne et restreint et/ou ménage des possibilités de gestion discrétionnaire d'un système pénitentiaire très hétérogène. la troisième vise à tenter de cerner concrètement les conséquences pratiques de la réforme. notre projet consiste centralement en une analyse juridique des textes adoptés ou en cours d'élaboration, mais veut également montrer par quel processus l'écriture de la réforme a été enclenchée et rendre compte des appréciations portées par les différents acteurs du monde judiciaire sur les conditions de son application.",,champeil-desplats véronique,05505563X,,Hugues De suremain,Paris 10,,26/09/2011,2018,,Droit,Paris 10,,,
404575,enCours,"Entre romantisme et ""Âge d'argent"", un exemple d'hybridation culturelle:  le « ballet russe » de Marius Petipa",Etudes slaves,ballet,histoire de l'art,petipa_createurs***ballet***russophilie,,,,FRIN,Sciences de l'homme et des humanités,"Marius Petipa, qui a effectué la majeure partie d’une très longue carrière au service des Théâtres impériaux de Russie, est l’inventeur du grand ballet académique ou ballet « russe ».  \
La thèse propose d’envisager  l’œuvre de Petipa comme une œuvre à la frontière entre deux pays et deux époques, de mettre à jour les oppositions et les tensions qui la traversent, en liaison, notamment, avec sa double origine nationale, française et russe, et aussi, du fait de la longévité exceptionnelle de la carrière de Petipa, avec sa situation à cheval entre deux ères culturelles. \
Nous prévoyons de l’analyser comme un exemple d’hybridation culturelle ou de transculturation, concept que nous empruntons aux études anthropologiques et qui a servi à définir toute réalité sociale issue des contacts et des transformations entre des identités initialement distinctes et autonomes. \
D’abord nous tenterons de montrer que la trajectoire de Marius Petipa est significative de la mobilité de tout un groupe professionnel. Nous soulignerons, en particulier, le rôle du Grand-Théâtre de Bordeaux.\
Une autre question centrale soulevée par ce travail sera de comprendre, en se situant cette fois du point de vue du pays d’accueil, l’apport de ce nouveau contexte culturel qu’est la Russie pour la maturation de l’œuvre de Petipa, en posant cette fois la question de la réception.\
. Entretemps le ballet petipien a son fonctionnement autonome, que nous proposons d’analyser en transposant les principes de l’analyse structurale élaborés pour la poésie\
L’œuvre de Petipa participe de deux cultures, française et russe, tout en dépassant chacune d’entre elles, et joue le rôle de lien entre deux époques artistiques, celle du romantisme et celle de l’Âge d’argent.","The thesis proposes to examine the work of Marius Petipa as a phenomenon at the border of two cultures and two periods***to resume oppositions and difficulties of Petipa’s works including his double nationality: Russian and French. \
We consider analyzing as an example of cultural hybridization or of transculturation***concept that was used to define the whole social reality proceeded from transformations between different and independent specificities.  We are to show that the trajectory of Petipa is significant in his career. We underline a principal role of Grand Theatre of Bordeaux. Another issue studied in the thesis will be to understand a new cultural context that Russia played for Petipa’s works. At the same time Marius Petipa ballet is independent and separate that we propose to review with the help of literary approach and analysis intended for the poetry.",melani pascale,,,Tatiana Nikitina,Bordeaux 3,Bordeaux 3,15/01/2015,2018,,"Autres langues,Littératures des autres langues,Langues et linguistique,Histoire et critique littéraires***rhétorique","Bordeaux 3,",,,Montaigne-Humanités
58628,enCours,Rôle des terminologies dans les dictionnaires généraux et dans la presse. etude comparative et proposition de dictionnaire multilingue russe-kazakh-anglais-français. etude d'un domaine de spécialité : bijouterie et horlogerie.,Sciences du langage,sciences du langage,sciences du langage,lexicologie***media***discours,,,compar kz***compar gb***compar fr,,,"L'objectif de départ de ce travail est délaborer un dictionnaire multilingue russe-kazakh-anglais-français du vocabulaire de la bijouterie et de l'horlogerie, a destination d'un public kazakhstanais. la collecte des termes figurant dans le dictionnaire proposé sera réalisée à partir d'un corpus de textes de presse kazakhstanaise, de catalogue et de dictionnaires généraux. premièrement, on exposera l'orientation théorique et méthodologique général de ce travail. ensuite, on dressera le profil linguistique des termes collectés, d'abord par une étude morphologique, puis sémentique. on relèvera les particularités du vocabulaire de la bijouterie et de l'horlogerie et constituera la nomenclature du dictionnaire. finalement, on proposera un dictionnaire multilingue avec un bilan de l'étude.",,le pesant denis,32856334,,Madina Syrayeva,Paris 10,Paris 10,26/09/2011,2018,,Linguistique générale,"Paris 10,",,122618882,"Ecole doctorale Connaissance, langage et modélisation (Nanterre)"
19382,enCours,Les pratiques des touristes russes en France : analyse comparée du XIXème siècle à nos jours.,Géographie,,géographie***histoire moderne***histoire contemporaine,tourisme,,19-21,,FROUT,"Analyse,France,Russe,Tourisme,Roussie,Union soviétique",,,violier philippe,51621770,,Ekaterina Andreeva,Angers,,26/09/2011,2018,,Géographie et voyages,"Angers,",,,Ecole doctorale d'Angers
449268,enCours,Langue de la publicité russe,Langues,sciences du langage,sciences du langage,medias***publicite***propagande,russie,,,,,,,roudet robert,67703097,,Olga Litnevskaia,Lyon,,26/02/2016,2018,,Langues et linguistique,"Lyon,",,148865267,"École doctorale Lettres, langues, linguistique et arts (Lyon)"
29201,enCours,De la jurisprudence en droit russe.,Droit privé,droit,droit,philosophie du droit,,,,,,,,lyon-caen antoine,26998793,,Flora Molinier,Paris 10,Paris 10,26/09/2011,2018,,Droit,Paris 10,,,
94436,enCours,Constructions parataxiques en français et en russe.,Linguistique,linguistique,linguistique,parataxe,russie***france,,compar fr,,,,,soutet olivier,27145352,,Olga Anikina,Paris 4,,14/12/2012,2018,,Langues et linguistique,"Paris 4,",,114671079,École doctorale Concepts et langages (Paris)
468568,enCours,Thématisation et détermination en russe contemporain,Linguistique Russe,linguistique,linguistique,thématisation***détermination,,,,,,,,milliaressi tatiana,13402673X,,Natalia Yakusheva,Lille 3,Lille 3,04/01/2017,2018,,Langues et linguistique,"Lille 3,",,148938809,"École doctorale Sciences de l'homme et de la société (Villeneuve d'Ascq, Nord)"
94142,enCours,Le crime organisé russe : origines et perspectives,Droit international,droit international,droit,criminalite***organisations,,,,,"Vory v zakone,Crime organisé,Post-soviétique",,,vallar christian,31208584,,Morgane Ferrari,Côte d'Azur,,11/12/2012,2018,,Droit,"Côte d'Azur,",,152549528,"École doctorale Droit et sciences politiques, économiques et de gestion (Nice)"
469602,enCours,Les racines germaniques du formalisme russe,Langues et litteratures francaises,litterature,litterature,germanique***semiologie***linguistique***structuralisme***litterature,russie,,,,,,,tchougounnikov serge,,,Joanna Teixeira,Dijon,,12/01/2017,2018,,"Langues romanes. Français,Littérature de langues romanes. Littérature française",Dijon,,,"Lettres, Communication, Langues, Arts (LECLA)"
335244,enCours,L'image de la révolution russe dans la presse satirique russe de 1917,Histoire de l'art,,histoire de l'art,media***revolution***satire,russie,1917-1917,,,,,,dagen philippe,,,Oxana Ep: desanlis (Ignatenko),Paris 1,,13/07/2013,2018,,"Géographie et histoire,Arts. Beaux-arts et arts décoratifs,Géographie et histoire",Paris 1,,,Histoire de l'art
14899,enCours,Etude contrastive de la transivité en russe et en français,Sciences du langage,linguistique,linguistique,traductologie,,21-21,compar fr,,,,,bracquenier christine,75523086,,Kamilla Abdulaeva,Paris 10,,26/09/2011,2018,,Linguistique générale,"Paris 10,",,122618882,"Ecole doctorale Connaissance, langage et modélisation (Nanterre)"
39235,enCours,Anaphore et cataphore : étude contrastive russe-français.,Sciences du langage,linguistique,linguistique,traductologie,,21-21,compar fr,,,,,bracquenier christine,75523086,,Maria Coquelle (Dedova),Paris 10,,26/09/2011,2018,,Linguistique générale,"Paris 10,",,122618882,"Ecole doctorale Connaissance, langage et modélisation (Nanterre)"
45332,enCours,Le russe contemporain face a l'emprunt lexical,Sciences du langage,linguistique,linguistique,lexicologie,,21-21,,,,,,breuillard jean,52446050,,Natalia Grosu,Paris 4,,26/09/2011,2018,,Linguistique générale,Paris 4,,,
58544,enCours,La relativisation en russe : phénomènes de concurrence sémantique et syntaxique,Sciences du langage,,sciences du langage,semantique,,,,,,,,viellard stephane,,,Jérôme Marocco,Paris 4,,26/09/2011,2018,,Linguistique générale,Paris 4,,,
55978,enCours,Specificités et proprietés de la categorie nominale.,Sciences du langage,linguistique,linguistique,semantique,russie***grande-bretagne***france***israel,,compar gb***compar fr***compar il,,"Anglais (langue),Categorisation,Francais (langue),Hebreu (langue),Praxematique,Russe (langue),Semantique,Signifiance,Substantif,Universaux",,,siblot paul,31550215,,Dennitsa Palezheva,Montpellier 3,,26/09/2011,2018,,Linguistique générale,Montpellier 3,,,
27527,enCours,L'analyse complexe de la métaphore dans le dialogue des cultures française et russe,Etudes slaves,sciences du langage***linguistique***sociologie,sciences du langage,linguistique***echanges,russie***france,,,,Sciences de l'homme et des humanités,,,dennes maryse,,,Jean-alain Ngapout mountapmbeme,Bordeaux 3,,26/09/2011,2018,,"Autres langues,Littératures des autres langues,Langues et linguistique,Histoire et critique littéraires***rhétorique",Bordeaux 3,,,Montaigne-Humanités
28196,enCours,Analyse comparative de la lexicographie russe et française du xviiie siècle (principes et traditions),Littératures française et francophone,sciences du langage,sciences du langage,lexicologie,,18-18,compar fr,,,,,berlan françoise,112275753,,Edouard Bakalev,Paris 4,,26/09/2011,2018,,Littérature de langues romanes. Littérature française,Paris 4,,,
38001,enCours,Contrat de vente international entre la Russie et la France,Sciences juridiques,droit prive,droit,droit prive***droit international***contrat,,,rel fr,,Droit privé,,,piette gael,,,Alexandra Kondratyuk,Bordeaux,Bordeaux,01/04/2015,2018,,Droit,Bordeaux,,,
38001,enCours,"Analyse comparée du discours des commentateurs sportifs: clichés, lieux communs, stéréotypes en russe et en français",Sciences du langage,sciences du langage,sciences du langage,sport***discours,,,compar fr,,,,,jeandillou jean-françois,29905419,,Liudmila Filonova,Paris 10,Paris 10,26/09/2011,2018,,Linguistique générale,Paris 10,,,
45840,enCours,La variation du genre et ses fonctions en russe et en ukrainien : genre commun et doublets,Sciences du langage,,sciences du langage,linguistique***genre,,,compar ua,,,,,viellard stephane,,,Oksana Ilnytska,Paris 4,,26/09/2011,2018,,Linguistique générale,Paris 4,,,
49036,enCours,L'orthoépie du chant lyrique russe : histoire d'une norme dans la tradition européenne,Sciences du langage,,sciences du langage,chant,,,,,,,,viellard stephane,,,Léonid Karev,Paris 4,,26/09/2011,2018,,Linguistique générale,Paris 4,,,
51647,enCours,La sculpture russe du naturalisme à l'art nouveau : une approche géopolitique des pratiques artistiques,Histoire de l'art,histoire de l'art,histoire de l'art,sculpture***theorie de l'art,,,,,,,,le men ségolène,02830067X,,Nicolas Laurent,Paris 10,Paris 10,26/09/2011,2018,,Arts. Beaux-arts et arts décoratifs,"Paris 10,",,148942776,"Ecole doctorale Milieux, cultures et sociétés du passé et du présent (Nanterre)"
62537,enCours,La semiotique du cirque dans la culture russe des dix-neuvieme et vingtieme siecles.,Études slaves,histoire du theatre,histoire de l'art,cirque***semiotique,,19-20,,,,,,buhks nora,,,Anna Dadena (Pasko),Paris 4,,26/09/2011,2018,,Informatique***information***généralités,Paris 4,,,
81014,enCours,"Diagnostic, analyse et gestion des riques interculturels en matière de coopération franco-russe.",Études slaves,ri,ri,politique culturelle,russie***france,,rel fr,,,,,raviot jean-robert,,,Laurence Nye (Roche),Paris 10,,24/02/2012,2018,,Sciences sociales***sociologie***anthropologie,"Paris 10,",,148943268,"Ecole doctorale Lettres, langues, spectacles (Nanterre)"
349302,enCours,Le sleng russe : typologie et analyse socioculturelle dans le cadre de la théorie des stéréotypes.,Linguistique,,sciences du langage,stéréotypes,,,,,,,,viellard stephane,,,Arina Trunova,Paris 4,,29/11/2013,2018,,Langues et linguistique,"Paris 4,",,114671079,École doctorale Concepts et langages (Paris)
372032,enCours,Les images de l'ennemi dans la société russe traditionnelle (Russie de Kiev),Etudes slaves,sociologie,sociologie,societe civile***media***propagande,russie de kiev,,,,Sciences humaines et humanités,,,lavrov alexandre,,,Gueorgui Chepelev,Paris 8,Paris 8,26/05/2014,2018,,"Autres langues,Littératures des autres langues,Langues et linguistique,Histoire et critique littéraires***rhétorique",Paris 8,,,ED Pratiques et théories du sens
396493,enCours,La dérivation sémantique dans le russe contemporain  (aspects synchroniques avec les éléments de diachronie).,Langues Slaves,linguistique,linguistique,derivation semantique***aspect,russie,,,,,,,sakhno serguei,56528434,,Alisa Moskaleva,Paris 10,,20/11/2014,2018,,Langues et linguistique,"Paris 10,",,148943268,"Ecole doctorale Lettres, langues, spectacles (Nanterre)"
